3.300308031017884502e-05;3.303213460514875521e-05;3.305865237357430431e-05;3.308285147407552529e-05;3.310493166064354398e-05;3.312507598218772387e-05;3.314345209481928123e-05;3.316021348531705826e-05;3.317550060777385568e-05;3.318944194208306442e-05;3.320215497248923953e-05;3.321374709508440048e-05;3.322431645558232560e-05;3.323395272203377715e-05;3.324273779714559396e-05;3.325074647531067740e-05;3.325804704523704913e-05;3.326470184439322963e-05;3.327076776904469568e-05;3.327629673988141690e-05;3.328133613256234469e-05;3.328592916873596153e-05;3.329011527597458553e-05;3.329393041795469799e-05;3.329740739466124921e-05;3.330057611883319169e-05;3.330346386731797281e-05;3.330609551244201327e-05;3.330849373139876946e-05;3.331067920009367356e-05;3.331267076744914846e-05;3.331448561683103549e-05;3.331613941215394448e-05;3.331764643177415053e-05;3.331901969061412672e-05;3.332027105162893577e-05;3.332141132683652529e-05;3.332245037124259568e-05;3.332339716610732694e-05;3.332425989732712424e-05;3.332504602471253463e-05;3.332576234704731633e-05;3.332641506004208054e-05;3.332700981006908592e-05;3.332755174256796238e-05;3.332804554667667674e-05;3.332849549542160617e-05;3.332890548235489803e-05;3.332927905619342823e-05;3.332961944990664449e-05;3.332992961002645416e-05;3.333021222129417538e-05;3.333046973064135443e-05;3.333070436672969095e-05;3.333091816148936459e-05;3.333111296566215742e-05;3.333129046589888844e-05;3.333145219897026834e-05;3.333159956575570959e-05;3.333173384190146749e-05;3.333185619025513802e-05;3.333196767041357589e-05;3.333206924760467871e-05;3.333216180134712658e-05;3.333224613344398790e-05;3.333232297397792365e-05;3.333239298863865940e-05;3.333245678360796660e-05;3.333251491133282229e-05;3.333256787541039046e-05;3.333261613458482486e-05;3.333266010652202738e-05;3.333270017225054005e-05;3.333273667860403577e-05;3.333276994199607657e-05;3.333280025041851502e-05;3.333282786632807415e-05;3.333285302908883807e-05;3.333287595652656421e-05;3.333289684692708477e-05;3.333291588170084196e-05;3.333293322538288805e-05;3.333294902851946517e-05;3.333296342744596075e-05;3.333297654739553195e-05;3.333298850183297191e-05;3.333299939423106650e-05;3.333300931918081744e-05;3.333301836216939762e-05;3.333302660180059718e-05;3.333303410957277890e-05;3.333304095032296743e-05;3.333304718355911689e-05;3.333305286279397706e-05;3.333305803754349483e-05;3.333306275266068042e-05;3.333306704900174111e-05;3.333307096342608133e-05;3.333307453035061485e-05;3.333307778019545253e-05
3.967194561660392083e-05;3.971393565249670132e-05;3.975227287744687033e-05;3.978726883091532329e-05;3.981920953299855626e-05;3.984835739578862501e-05;3.987495302215648962e-05;3.989921689573350250e-05;3.992135095853832638e-05;3.994154008513106646e-05;3.995995345307257196e-05;3.997674581657228998e-05;3.999205868598920688e-05;4.000602141962517067e-05;4.001875223447193264e-05;4.003035913546781899e-05;4.004094077525444106e-05;4.005058724332322129e-05;4.005938079365556348e-05;4.006739651196689067e-05;4.007470292943793311e-05;4.008136258559780174e-05;4.008743254368951625e-05;4.009296486429114736e-05;4.009800703852484105e-05;4.010260238440643832e-05;4.010679040944431506e-05;4.011060714348424483e-05;4.011408544202232918e-05;4.011725526353870919e-05;4.012014392285045972e-05;4.012277632403637995e-05;4.012517517071323425e-05;4.012736116010273690e-05;4.012935315977905759e-05;4.013116836776298157e-05;4.013282246084770577e-05;4.013432972738151250e-05;4.013570319116865903e-05;4.013695472204759085e-05;4.013809513847554911e-05;4.013913429967708169e-05;4.014008119157530530e-05;4.014094400317524958e-05;4.014173019717404145e-05;4.014244657479792977e-05;4.014309933353388260e-05;4.014369412153051542e-05;4.014423608555972578e-05;4.014472991564765891e-05;4.014517988593091502e-05;4.014558989084981988e-05;4.014596347934329401e-05;4.014630388526896354e-05;4.014661405560282503e-05;4.014689667530824124e-05;4.014715419153880305e-05;4.014738883340029929e-05;4.014760263282290964e-05;4.014779744077046075e-05;4.014797494411581624e-05;4.014813668007377601e-05;4.014828404907966330e-05;4.014841832700177804e-05;4.014854067690976080e-05;4.014865215817842170e-05;4.014875373625770294e-05;4.014884629088832924e-05;4.014893062365132437e-05;4.014900746485139393e-05;4.014907747973417429e-05;4.014914127514757070e-05;4.014919940331651560e-05;4.014925236761612837e-05;4.014930062679056277e-05;4.014934459894980989e-05;4.014938466467832257e-05;4.014942117125386289e-05;4.014945443464590369e-05;4.014948474329038675e-05;4.014951235919994588e-05;4.014953752196070980e-05;4.014956044939843594e-05;4.014958133979895649e-05;4.014960037457271369e-05;4.014961771825475978e-05;4.014963352139133690e-05;4.014964792053987708e-05;4.014966104048944828e-05;4.014967299470484363e-05;4.014968388732498283e-05;4.014969381205268917e-05;4.014970285504126934e-05;4.014971109489451351e-05;4.014971860266669523e-05;4.014972544341688376e-05;4.014973167643098861e-05;4.014973735566584878e-05;4.014974253041536656e-05;4.014974724553255214e-05
4.766889745044800009e-05;4.772953516773981164e-05;4.778492047430304979e-05;4.783549753817339933e-05;4.788167478531057952e-05;4.792382746598988774e-05;4.796230009174173858e-05;4.799740873773217231e-05;4.802944321147251117e-05;4.805866908497158363e-05;4.808532959810207785e-05;4.810964743273693500e-05;4.813182636320689767e-05;4.815205279129486371e-05;4.817049716621113475e-05;4.818731530087383419e-05;4.820264958715902992e-05;4.821663011767007845e-05;4.822937571935526080e-05;4.824099490519095923e-05;4.825158675036966827e-05;4.826124169565737532e-05;4.827004228680209508e-05;4.827806385288013757e-05;4.828537512691077893e-05;4.829203881584476221e-05;4.829811212259116360e-05;4.830364722363533758e-05;4.830869170646678867e-05;4.831328896881537105e-05;4.831747858480284208e-05;4.832129663956408194e-05;4.832477603433638080e-05;4.832794676556950719e-05;4.833083618027700368e-05;4.833346920785075440e-05;4.833586857455607344e-05;4.833805499537824346e-05;4.834004735299046729e-05;4.834186285807007266e-05;4.834351719740226372e-05;4.834502466821710698e-05;4.834639830142428707e-05;4.834764997285745380e-05;4.834879050563678504e-05;4.834982976342772076e-05;4.835077673548404675e-05;4.835163961325328330e-05;4.835242586231913720e-05;4.835314228546216953e-05;4.835379508194570519e-05;4.835438990125062730e-05;4.835493189103701184e-05;4.835542574244122704e-05;4.835587573048805154e-05;4.835628575006190033e-05;4.835665935054578313e-05;4.835699976646345988e-05;4.835730994501297175e-05;4.835759257160177071e-05;4.835785009338344764e-05;4.835808473990788059e-05;4.835829854310524922e-05;4.835849335416142480e-05;4.835867086017131555e-05;4.835883259812767676e-05;4.835897996890992090e-05;4.835911424816430326e-05;4.835923659918250905e-05;4.835934808156139297e-05;4.835944966030680803e-05;4.835954221560356814e-05;4.835962654881065248e-05;4.835970339045481126e-05;4.835977340578168082e-05;4.835983720141712183e-05;4.835989532980811134e-05;4.835994829410772411e-05;4.835999655350420312e-05;4.836004052566345024e-05;4.836008059161400752e-05;4.836011709818954785e-05;4.836015036180363325e-05;4.836018067044811630e-05;4.836020828635767543e-05;4.836023344911843935e-05;4.836025637655616549e-05;4.836027726695668605e-05;4.836029630173044325e-05;4.836031364541248934e-05;4.836032944854906646e-05;4.836034384769760663e-05;4.836035696764717784e-05;4.836036892186257319e-05;4.836037981426066779e-05;4.836038973921041872e-05;4.836039878219899890e-05;4.836040702183019846e-05;4.836041452960238018e-05;4.836042137035256872e-05
5.724981133181650250e-05;5.733729614298965771e-05;5.741724217056543011e-05;5.749028037116410417e-05;5.755699203691122534e-05;5.761791216896128276e-05;5.767353271646236124e-05;5.772430566919339867e-05;5.777064599143955093e-05;5.781293439643953036e-05;5.785151995696402594e-05;5.788672255535587396e-05;5.791883517436424711e-05;5.794812603432397680e-05;5.797484058200907953e-05;5.799920333804386985e-05;5.802141960886686434e-05;5.804167707146312694e-05;5.806014723708230463e-05;5.807698680238004840e-05;5.809233889420006847e-05;5.810633421710065249e-05;5.811909210673427140e-05;5.813072149951636902e-05;5.814132182191400489e-05;5.815098380757000029e-05;5.815979024537121234e-05;5.816781666645454152e-05;5.817513197148294068e-05;5.818179900729525400e-05;5.818787509248579681e-05;5.819341250012932676e-05;5.819845889765140612e-05;5.820305774917322594e-05;5.820724868410565023e-05;5.821106783354679237e-05;5.821454813670356998e-05;5.821771962177813009e-05;5.822060966154118944e-05;5.822324320803318187e-05;5.822564300506094526e-05;5.822782978293084000e-05;5.822982243652852219e-05;5.823163818696741600e-05;5.823329272991450978e-05;5.823480036948325278e-05;5.823617414257853397e-05;5.823742592991898448e-05;5.823856655862158505e-05;5.823960589612653393e-05;5.824055293390806298e-05;5.824141586630027234e-05;5.824220216044118104e-05;5.824291862088770699e-05;5.824357144823544274e-05;5.824416629307549442e-05;5.824470830395611642e-05;5.824520217312390002e-05;5.824565217538157924e-05;5.824606220672379209e-05;5.824643581719968211e-05;5.824677624111096463e-05;5.824708642632181466e-05;5.824736905846172874e-05;5.824762658468429777e-05;5.824786123476144439e-05;5.824807504106743750e-05;5.824826985456610373e-05;5.824844736279644053e-05;5.824860910230711397e-05;5.824875647442162574e-05;5.824889075478623113e-05;5.824901310669261534e-05;5.824912458973763307e-05;5.824922616914918194e-05;5.824931872489003126e-05;5.824940305854120481e-05;5.824947990040740819e-05;5.824954991595632237e-05;5.824961371181380798e-05;5.824967184020479749e-05;5.824972480472645486e-05;5.824977306434497848e-05;5.824981703650422560e-05;5.824985710245478288e-05;5.824989360903032320e-05;5.824992687264440860e-05;5.824995718128889166e-05;5.824998479719845079e-05;5.825000995995921471e-05;5.825003288739694085e-05;5.825005377779746141e-05;5.825007281257121861e-05;5.825009015625326469e-05;5.825010595938984181e-05;5.825012035831633739e-05;5.825013347826590859e-05;5.825014543270334855e-05;5.825015632510144314e-05;5.825016624982914948e-05
6.871607931935308500e-05;6.884215614388899951e-05;6.895743614054872239e-05;6.906281165441896519e-05;6.915910669813563061e-05;6.924708125977119266e-05;6.932743550591702331e-05;6.940081384576579637e-05;6.946780883265724071e-05;6.952896488821025400e-05;6.958478183749505774e-05;6.963571824947223377e-05;6.968219458314273140e-05;6.972459613652226551e-05;6.976327580776597870e-05;6.979855666799927860e-05;6.983073435851139266e-05;6.986007931453208641e-05;6.988683882780399870e-05;6.991123895527806553e-05;6.993348628214768326e-05;6.995376954943566261e-05;6.997226115457166884e-05;6.998911853028921826e-05;7.000448541694126448e-05;7.001849302823437426e-05;7.003126112370416934e-05;7.004289899192883695e-05;7.005350635247431512e-05;7.006317418190022295e-05;7.007198547159809721e-05;7.008001592057055973e-05;7.008733456936866446e-05;7.009400438073853934e-05;7.010008276986390285e-05;7.010562208953352581e-05;7.011067007356430736e-05;7.011527024158858978e-05;7.011946226920251490e-05;7.012328232502973435e-05;7.012676337980749963e-05;7.012993548838331037e-05;7.013282604551029920e-05;7.013546002099246834e-05;7.013786017351364421e-05;7.014004724625877429e-05;7.014204014410552190e-05;7.014385609704909541e-05;7.014551080763986590e-05;7.014701858620853159e-05;7.014839247454496274e-05;7.014964435714254876e-05;7.015078506467098407e-05;7.015182446745704681e-05;7.015277155919541485e-05;7.015363453644063441e-05;7.015442086744094752e-05;7.015513735830758435e-05;7.015579021096840506e-05;7.015638507645860500e-05;7.015692710443666158e-05;7.015742098759325529e-05;7.015787100161929857e-05;7.015828104250942943e-05;7.015865466075688062e-05;7.015899509132950129e-05;7.015930528164737723e-05;7.015958791822818341e-05;7.015984544778142151e-05;7.016008010096719261e-05;7.016029390949363176e-05;7.016048872521274404e-05;7.016066623477534847e-05;7.016082797561828954e-05;7.016097534862097973e-05;7.016110962987376354e-05;7.016123198244628156e-05;7.016134346593538851e-05;7.016144504579102659e-05;7.016153760197596512e-05;7.016162193562713867e-05;7.016169877771538665e-05;7.016176879348634543e-05;7.016183258934383105e-05;7.016189071795686516e-05;7.016194368247852253e-05;7.016199194209704615e-05;7.016203591425629327e-05;7.016207598020685055e-05;7.016211248700443548e-05;7.016214575039647627e-05;7.016217605904095933e-05;7.016220367495051846e-05;7.016222883771128238e-05;7.016225176492696392e-05;7.016227265554952908e-05;7.016229169032328628e-05;7.016230903400533236e-05;7.016232483691986488e-05;7.016233923606840506e-05
8.242104740152633724e-05;8.260249656655282990e-05;8.276852329558437305e-05;8.292038284141156623e-05;8.305923760687505819e-05;8.318616242219967205e-05;8.330214981033812194e-05;8.340811517726365309e-05;8.350490187347681115e-05;8.359328608986693609e-05;8.367398155728622555e-05;8.374764403140666502e-05;8.381487555131350575e-05;8.387622846406372901e-05;8.393220921165678305e-05;8.398328188641279723e-05;8.402987155342600545e-05;8.407236735274992157e-05;8.411112538353471280e-05;8.414647138565989337e-05;8.417870322152687379e-05;8.420809317688515705e-05;8.423489008402285094e-05;8.425932128153235112e-05;8.428159442108729138e-05;8.430189913166685756e-05;8.432040854788880324e-05;8.433728071710611118e-05;8.435265988904205869e-05;8.436667770239658637e-05;8.437945426886805933e-05;8.439109917013354334e-05;8.440171236956395262e-05;8.441138504600154135e-05;8.442020035914765685e-05;8.442823414744893284e-05;8.443555556758575165e-05;8.444222767844955513e-05;8.444830797582625337e-05;8.445384887867390944e-05;8.445889817609852912e-05;8.446349943347364331e-05;8.446769236458706587e-05;8.447151316959278233e-05;8.447499484587339680e-05;8.447816746937064636e-05;8.448105845348941045e-05;8.448369278268863525e-05;8.448609322830868962e-05;8.448828054397061749e-05;8.449027364298977716e-05;8.449208976246680436e-05;8.449374461072522990e-05;8.449525250342482252e-05;8.449662648613021076e-05;8.449787844666545311e-05;8.449901921880886846e-05;8.450005867488563638e-05;8.450100581058883620e-05;8.450186882402732635e-05;8.450265518500366113e-05;8.450337170051724911e-05;8.450402457338412887e-05;8.450461945574971878e-05;8.450516149749454087e-05;8.450565539197540943e-05;8.450610541510528151e-05;8.450651546376697354e-05;8.450688908800962906e-05;8.450722952368927565e-05;8.450753971822599908e-05;8.450782235791542973e-05;8.450807989035524770e-05;8.450831454576146484e-05;8.450852835606426083e-05;8.450872317311564075e-05;8.450890068378846820e-05;8.450906242551958769e-05;8.450920979918841169e-05;8.450934408110732932e-05;8.450946643412393655e-05;8.450957791783508810e-05;8.450967949791277078e-05;8.450977205431975392e-05;8.450985638819297208e-05;8.450993323028122006e-05;8.451000324627422344e-05;8.451006704213170906e-05;8.451012517052269857e-05;8.451017813526640055e-05;8.451022639466287956e-05;8.451027036704417128e-05;8.451031043277268395e-05;8.451034693957026889e-05;8.451038020296230968e-05;8.451041051138474813e-05;8.451043812751635187e-05;8.451046329005507118e-05;8.451048621749279732e-05;8.451050710789331788e-05
9.877661610380172874e-05;9.903733846305939892e-05;9.927610023963140407e-05;9.949465564607073986e-05;9.969463473780137974e-05;9.987754946583216054e-05;1.000447999444098457e-04;1.001976808054916290e-04;1.003373875421154082e-04;1.004650227605097257e-04;1.005816022758843076e-04;1.006880610094906814e-04;1.007852586496493785e-04;1.008739850536510829e-04;1.009549653776531386e-04;1.010288649228030522e-04;1.010962936984771687e-04;1.011578107033006546e-04;1.012139279283896798e-04;1.012651140919196280e-04;1.013117981161215653e-04;1.013543723533683050e-04;1.013931955797797713e-04;1.014285957627869550e-04;1.014608726206400746e-04;1.014902999827427266e-04;1.015171279656890135e-04;1.015415849769940593e-04;1.015638795571760511e-04;1.015842020741786200e-04;1.016027262774610307e-04;1.016196107248568126e-04;1.016350000910826168e-04;1.016490263676672612e-04;1.016618099596300340e-04;1.016734606924529771e-04;1.016840787315675954e-04;1.016937554245700426e-04;1.017025740706056780e-04;1.017106106240284191e-04;1.017179343383300960e-04;1.017246083523382083e-04;1.017306902280079584e-04;1.017362324398085605e-04;1.017412828225872090e-04;1.017458849799091070e-04;1.017500786566483129e-04;1.017539000798262094e-04;1.017573822681416829e-04;1.017605553161882170e-04;1.017634466515815461e-04;1.017660812716592034e-04;1.017684819581976541e-04;1.017706694730335926e-04;1.017726627368098491e-04;1.017744789926222637e-04;1.017761339539013932e-04;1.017776419396376753e-04;1.017790159989484522e-04;1.017802680229884515e-04;1.017814088475343937e-04;1.017824483464657703e-04;1.017833955179181515e-04;1.017842585604444849e-04;1.017850449454016371e-04;1.017857614806771949e-04;1.017864143697533308e-04;1.017870092652195524e-04;1.017875513178445601e-04;1.017880452212072129e-04;1.017884952516645569e-04;1.017889053060994087e-04;1.017892789352270455e-04;1.017896193744594058e-04;1.017899295723267983e-04;1.017902122144587196e-04;1.017904697488969390e-04;1.017907044058574684e-04;1.017909182172704874e-04;1.017911130352100457e-04;1.017912905467710516e-04;1.017914522891683049e-04;1.017915996632812181e-04;1.017917339454221803e-04;1.017918562986608322e-04;1.017919677825940283e-04;1.017920693626717110e-04;1.017921619190786942e-04;1.017922462531739569e-04;1.017923230952622049e-04;1.017923931110331637e-04;1.017924569068906493e-04;1.017925150352816388e-04;1.017925679998032962e-04;1.017926162591997752e-04;1.017926602313590223e-04;1.017927002973095796e-04;1.017927368038851199e-04;1.017927700672771607e-04;1.017928003756995992e-04
1.182596146498404721e-04;1.186335279264039144e-04;1.189762884541423205e-04;1.192903281515000913e-04;1.195779163594146155e-04;1.198411660241482934e-04;1.200820405451441530e-04;1.203023610654163633e-04;1.205038140201786234e-04;1.206879587918319174e-04;1.208562353502973252e-04;1.210099717825485754e-04;1.211503916371814427e-04;1.212786210247340790e-04;1.213956954388972775e-04;1.215025662619773072e-04;1.216001069426209114e-04;1.216891188358104614e-04;1.217703366966915723e-04;1.218444338382251857e-04;1.219120269531082101e-04;1.219736806117310834e-04;1.220299114499390214e-04;1.220811920561448716e-04;1.221279545748910067e-04;1.221705940432915583e-04;1.222094714707910867e-04;1.222449166851102831e-04;1.222772309510400390e-04;1.223066893849544812e-04;1.223335431741467971e-04;1.223580216158648426e-04;1.223803339913676069e-04;1.224006712832181876e-04;1.224192077522445743e-04;1.224361023817177596e-04;1.224515001994053165e-04;1.224655334897128967e-04;1.224783229023529429e-04;1.224899784646460432e-04;1.225006005107776019e-04;1.225102805277877849e-04;1.225191019307292351e-04;1.225271407707673177e-04;1.225344663811078760e-04;1.225411419669697466e-04;1.225472251455972383e-04;1.225527684372007542e-04;1.225578197148191606e-04;1.225624226133259498e-04;1.225666169042405329e-04;1.225704388356785302e-04;1.225739214447685299e-04;1.225770948409810046e-04;1.225799864643661863e-04;1.225826213226977046e-04;1.225850222061897199e-04;1.225872098835623092e-04;1.225892032818975963e-04;1.225910196485102688e-04;1.225926747008276863e-04;1.225941827620591340e-04;1.225955568835424003e-04;1.225968089586526588e-04;1.225979498249429867e-04;1.225989893585133217e-04;1.225999365581653677e-04;1.226007996237843400e-04;1.226015860276152836e-04;1.226023025784339637e-04;1.226029554801666421e-04;1.226035503858469156e-04;1.226040924466875737e-04;1.226045863567115646e-04;1.226050363924979791e-04;1.226054464511516784e-04;1.226058200838320289e-04;1.226061605259509690e-04;1.226064707258167630e-04;1.226067533697250411e-04;1.226070109054955282e-04;1.226072455633442360e-04;1.226074593756454334e-04;1.226076541940290809e-04;1.226078317060341760e-04;1.226079934486534739e-04;1.226081408229884318e-04;1.226082751051293940e-04;1.226083974583680458e-04;1.226085089423012420e-04;1.226086105226009693e-04;1.226087030787859078e-04;1.226087874126591259e-04;1.226088642545253293e-04;1.226089342702962881e-04;1.226089980659317291e-04;1.226090561943227186e-04;1.226091091588443760e-04;1.226091574180188104e-04;1.226092013901780575e-04
1.414173522380490766e-04;1.419523778001252623e-04;1.424434102037519523e-04;1.428937878107383597e-04;1.433066420093442872e-04;1.436849020397534815e-04;1.440313013172378476e-04;1.443483848801996317e-04;1.446385176386844051e-04;1.449038931546908771e-04;1.451465427351195103e-04;1.453683446521747413e-04;1.455710333460036310e-04;1.457562084943297975e-04;1.459253438580443429e-04;1.460797958350301684e-04;1.462208116742580444e-04;1.463495373132950306e-04;1.464670248194632762e-04;1.465742394219926581e-04;1.466720661325027208e-04;1.467613159544800538e-04;1.468427316921872006e-04;1.469169933698832864e-04;1.469847232740129073e-04;1.470464906356827584e-04;1.471028159727438833e-04;1.471541751056903991e-04;1.472010028702452900e-04;1.472436965421763944e-04;1.472826189945486419e-04;1.473181016047320213e-04;1.473504469264863559e-04;1.473799311484391694e-04;1.474068063489486491e-04;1.474313025662254972e-04;1.474536296968143034e-04;1.474739792357571133e-04;1.474925258686532459e-04;1.475094289318246155e-04;1.475248337472478966e-04;1.475388728431337171e-04;1.475516670710330658e-04;1.475633266272424748e-04;1.475739519851693160e-04;1.475836347477610389e-04;1.475924584271037787e-04;1.476004991536328248e-04;1.476078263269453572e-04;1.476145032079934083e-04;1.476205874590963418e-04;1.476261316391003220e-04;1.476311836516863707e-04;1.476357871588174220e-04;1.476399819528850799e-04;1.476438043004346667e-04;1.476472872536938041e-04;1.476504609339013285e-04;1.476533527919876576e-04;1.476559878439420714e-04;1.476583888870841577e-04;1.476605766963512423e-04;1.476625702028222520e-04;1.476643866586968556e-04;1.476660417845110373e-04;1.476675499059165730e-04;1.476689240766937417e-04;1.476701761922161182e-04;1.476713170915910922e-04;1.476723566520288244e-04;1.476733038736632864e-04;1.476741669572678717e-04;1.476749533755317145e-04;1.476756699381187588e-04;1.476763228491773106e-04;1.476769177624071006e-04;1.476774598294650076e-04;1.476779537441519352e-04;1.476784037837131081e-04;1.476788138454754318e-04;1.476791874803762283e-04;1.476795279240494807e-04;1.476798381252475423e-04;1.476801207702660435e-04;1.476803783064806197e-04;1.476806129649954613e-04;1.476808267775187034e-04;1.476810215961243955e-04;1.476811991081294906e-04;1.476813608507487885e-04;1.476815082248617017e-04;1.476816425070026639e-04;1.476817648600192712e-04;1.476818763437304227e-04;1.476819779238081054e-04;1.476820704797709993e-04;1.476821548134221729e-04;1.476822316552883763e-04;1.476823016708372904e-04;1.476823654662506868e-04
1.688714826122428292e-04;1.696349728559365388e-04;1.703366725618327138e-04;1.709811088530521772e-04;1.715725555491154353e-04;1.721150336944088366e-04;1.726123150349589963e-04;1.730679278284519285e-04;1.734851644643597979e-04;1.738670904316563792e-04;1.742165542555351720e-04;1.745361980733939333e-04;1.748284685865186816e-04;1.750956281671989245e-04;1.753397659420841137e-04;1.755628087165561624e-04;1.757665316304279912e-04;1.759525684597029738e-04;1.761224215113266212e-04;1.762774710627468266e-04;1.764189843251884326e-04;1.765481239135446856e-04;1.766659558208871772e-04;1.767734568980383614e-04;1.768715218499750108e-04;1.769609697634955126e-04;1.770425501799177681e-04;1.771169487365664708e-04;1.771847923945912839e-04;1.772466542784290056e-04;1.773030581457835098e-04;1.773544825141026848e-04;1.774013644628702480e-04;1.774441031341389419e-04;1.774830629535095738e-04;1.775185765886533318e-04;1.775509476673597931e-04;1.775804532695435256e-04;1.776073462149696525e-04;1.776318571584667438e-04;1.776541965083922037e-04;1.776745561850034960e-04;1.776931112276169955e-04;1.777100212660975842e-04;1.777254318660048682e-04;1.777394757578321105e-04;1.777522739616621550e-04;1.777639368132355457e-04;1.777745649018669383e-04;1.777842499270931853e-04;1.777930754800483015e-04;1.778011177582250468e-04;1.778084462160656187e-04;1.778151241600411936e-04;1.778212092904407626e-04;1.778267541974187793e-04;1.778318068110795735e-04;1.778364108147023614e-04;1.778406060186643600e-04;1.778444287048319694e-04;1.778479119369791306e-04;1.778510858474469103e-04;1.778539778949372874e-04;1.778566131027670139e-04;1.778590142740288371e-04;1.778612021883230199e-04;1.778631957811693809e-04;1.778650123076541689e-04;1.778666674911999479e-04;1.778681756596789398e-04;1.778695498688698251e-04;1.778708020154784464e-04;1.778719429403885499e-04;1.778729825212543858e-04;1.778739297593201485e-04;1.778747928560253655e-04;1.778755792849473494e-04;1.778762958559720886e-04;1.778769487734699339e-04;1.778775436920287945e-04;1.778780857628614598e-04;1.778785796806570119e-04;1.778790297226606754e-04;1.778794397859773113e-04;1.778798134219883309e-04;1.778801538667718063e-04;1.778804640684139571e-04;1.778807467134324583e-04;1.778810042500911237e-04;1.778812389083839207e-04;1.778814527206851182e-04;1.778816475390687657e-04;1.778818250508518162e-04;1.778819867930270249e-04;1.778821341669178935e-04;1.778822684486147665e-04;1.778823908014093291e-04;1.778825022846763915e-04;1.778826038643099849e-04;1.778826964200508343e-04
