An,dAn,Ci,dCis,gs,dgs,g_ias,dg_ias,gm_,dgm_,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
9.49,0.69,322.34753786517365,10.696934039840533,0.11,0.01,1.28,0.23,0.033288903338901374,0.0027738965512997954,0.17670851245509106,0.03708381566278998,0.036402531833385904,0.23067194850103648,0.023259032526856765,0.021897304043233673
7.96,1.02,229.42194350583853,54.971187609024696,0.04,0.02,1.32,0.26,0.04630406102862354,0.020415920086607895,0.06592715356162515,0.034187629896530694,0.03384946555567307,0.26925990623770835,0.06992424156084931,0.06148010822220129
7.92,1.16,273.25827257452823,55.215953445717396,0.06,0.03,1.21,0.12,0.035766923587275866,0.01170388592487628,0.10352900162863372,0.05032558299020667,0.04936823172476405,0.24139365880818606,0.04301715133522485,0.04387977111302224
7.63,0.78,250.19598900261673,37.609248468441734,0.05,0.01,0.98,0.15,0.037169814770137304,0.007621603650132897,0.10410857170328651,0.025516369312614084,0.02524282983595473,0.2792393501967258,0.03787132290152609,0.0357804435927937
7.0,1.4,232.2017369606119,50.77118338771111,0.04,0.01,1.1,0.02,0.039636111804507,0.01743757326374829,0.0744206677111941,0.019680499351436335,0.01939250165406299,0.26367395014015005,0.06151940314792306,0.061529047763607125
6.64,0.61,271.09864926345165,32.153330665801,0.05,0.01,1.22,0.26,0.029091921124006537,0.005050692006337486,0.08792687518515131,0.024068525601742788,0.021133007724761024,0.22271145234981016,0.029710620419176992,0.02838020761460186
9.35,1.67,271.53442909278624,54.94950296992401,0.07,0.03,0.99,0.05,0.04307975401476516,0.016103402615345135,0.14770100020873844,0.05843628802459136,0.06070036363001041,0.2908648149868234,0.06000765803017932,0.06035715952416526
7.01,0.94,320.81283713311063,16.328338150806402,0.08,0.01,0.91,0.19,0.02493679836765809,0.003765575055629113,0.18609450344260176,0.04472785167576729,0.04407766101724561,0.24104345542021216,0.031068436566508345,0.031150357605219836
5.98,0.84,217.74167354776355,50.35758235512019,0.03,0.01,1.09,0.12,0.03762553804753426,0.021448345633338643,0.056246069015213805,0.018988239758360864,0.01819498601021704,0.2618675654386817,0.07811899131818592,0.08079742285400737
5.16,1.34,274.72113772841726,50.92506524589464,0.04,0.01,0.89,0.09,0.023118727873880886,0.008277257688659537,0.08994052586295702,0.02603319395021647,0.026573092277263913,0.22611904670343427,0.04240387283459521,0.04361483828474624
5.03,0.81,206.37654457243357,52.78683665361213,0.02,0.01,1.04,0.24,0.03517950035168634,0.024071108052876173,0.0414562684516812,0.021457527854841126,0.020656987147154256,0.26404653351550217,0.09024036013314093,0.08537132324750363
