species,plant_functional_type,gm,An,gs_CO2,T_mesophyll,T_leaf,fias_mesophyll,Cistar_infered,L_infered,Ci_infered,g_ias,gm_,gs,dgm_,dgs,dg_ias,gamma,dgamma_low,dgamma_high,tau,dtau_low,dtau_high
Oryza glaberrima,C3 annual herbaceous,0.238,27.09,0.232,,85.2,0.207,40,72.42,264.6,2.599682402169836,0.12061442564559215,0.232,0.0476,0.046400000000000004,0.5199364804339672,0.18342780780098172,0.05033428442690971,0.05179001287903931,0.31231976827679697,0.07083922053667122,0.06979039337912857
Oryza glumaepatula,C3 perennial herbaceous,0.219,25.82,0.286,,72.1,0.187,40,61.285,257.6,2.7752102155708798,0.11865808823529411,0.286,0.043800000000000006,0.0572,0.5550420431141759,0.21340234340852596,0.05885167126893087,0.05881941295315893,0.2973930726157337,0.0652845968498601,0.06435905190214691
Oryza glumaepatula,C3 perennial herbaceous,0.274,25.82,0.286,,72.1,0.187,40,61.285,257.6,2.7752102155708798,0.11865808823529411,0.286,0.05480000000000001,0.0572,0.5550420431141759,0.21622505079355714,0.05621214660926249,0.05553172096477088,0.2928571148052538,0.0727540871240111,0.07365130450473178
Oryza latifolia,C3 perennial herbaceous,0.115,16.42,0.156,,97.9,0.26,40,83.215,255.2,2.8417129069328473,0.0763011152416357,0.156,0.023000000000000003,0.031200000000000002,0.5683425813865695,0.11426219328973901,0.03017565068242442,0.031182238200437987,0.23712614287277112,0.04226149056940623,0.044395683310969936
Oryza longistaminata,C3 perennial herbaceous,0.242,23.97,0.245,,80.9,0.172,40,68.765,253.3,2.2749374963041182,0.11237693389592122,0.245,0.0484,0.049,0.45498749926082366,0.22228689439836388,0.060204600168417416,0.06162210550926103,0.3153289031583432,0.07388920118757819,0.07505062517233213
Oryza meridionalis,C3 annual herbaceous,0.244,22.1,0.271,,67.4,0.227,40,57.290000000000006,270.4,3.6037570443186904,0.09592013888888891,0.271,0.0488,0.054200000000000005,0.7207514088637381,0.16037969783794598,0.043551495483339184,0.03996287755485653,0.23048089651739237,0.06537438020869857,0.06505722518699966
Oryza minuta,C3 perennial herbaceous,0.137,16.75,0.164,,80.8,0.172,40,68.67999999999999,247.1,2.277753013007465,0.08087880251086432,0.164,0.027400000000000004,0.0328,0.45555060260149305,0.14520865803260358,0.04142488137865577,0.04259505662866159,0.2699894389150471,0.05192543534328842,0.05453796378324954
Oryza nivara,C3 annual herbaceous,0.108,14.78,0.231,,75.2,0.243,40,63.92,292.9,3.457625692617653,0.05844207196520364,0.231,0.0216,0.046200000000000005,0.6915251385235307,0.13812750130464746,0.038156605352734796,0.03544591958439908,0.18541855255571812,0.03766452012125815,0.039802628895737324
Oryza officinalis,C3 perennial herbaceous,0.224,21.62,0.3,,79.5,0.176,40,67.575,278.9,2.368836481452139,0.09049811636668063,0.3,0.044800000000000006,0.06,0.4737672962904278,0.25801099081167783,0.06727558387797919,0.08206633177806438,0.28175394559866745,0.08181552042272314,0.07460845318588916
Oryza punctata,C3 annual herbaceous,0.305,21.5,0.232,,74.1,0.236,40,62.98499999999999,253.3,3.4078725052911483,0.10079699953117674,0.232,0.061,0.046400000000000004,0.6815745010582297,0.1477112124100063,0.04263841573086538,0.0365462597405683,0.24960025824389606,0.0754078772305673,0.07222543596637274
Oryza rhizomatis,C3 perennial herbaceous,0.168,22.8,0.231,,116.2,0.23,40,98.77,255.9,2.117928290924365,0.10560444650301065,0.231,0.033600000000000005,0.046200000000000005,0.42358565818487304,0.2307041557634541,0.06534603126078606,0.06724797020876394,0.32271051482780877,0.056770463007711436,0.05555020431951796
Oryza rufipogon,C3 perennial herbaceous,0.322,25.56,0.283,,64.6,0.231,40,54.91,256.5,3.8262117896520387,0.11806004618937643,0.283,0.0644,0.0566,0.7652423579304077,0.1500796907492877,0.04196115172370546,0.0407486146733636,0.25483152809183474,0.074703729606273,0.07498878600703568
Oryza rufipogon,C3 perennial herbaceous,0.304,25.56,0.283,,64.6,0.231,40,54.91,256.5,3.8262117896520387,0.11806004618937643,0.283,0.0608,0.0566,0.7652423579304077,0.15446073434798374,0.04203518883205812,0.03746549531439555,0.2451668567696839,0.07851325124174066,0.07252216210311899
Oryza sativa,C3 annual herbaceous,0.245,25.56,0.357,,67.1,0.168,40,57.035,275.1,2.6790221553883944,0.10871969374734154,0.357,0.049,0.0714,0.5358044310776789,0.2763394594953202,0.0779482445430375,0.07149420324329919,0.28875582110585835,0.07342897674270044,0.07121341474634174
Oryza sativa,C3 annual herbaceous,0.228,25.56,0.357,,67.1,0.168,40,57.035,275.1,2.6790221553883944,0.10871969374734154,0.357,0.0456,0.0714,0.5358044310776789,0.27712578090781403,0.07875701945667801,0.0777925669213066,0.2807587070381887,0.06928317517665011,0.06816303090203446
Oryza sativa,C3 annual herbaceous,0.525,28.75,0.247,,109.6,0.175,40,93.16,250.8,1.7085080845742209,0.13638519924098672,0.247,0.10500000000000001,0.0494,0.3417016169148442,0.3041366533121126,0.08171377968211302,0.06888260909546429,0.4297173802392915,0.1553673722173297,0.1587787455552434
Oryza sativa,C3 annual herbaceous,0.129,16.2,0.131,,184.2,0.204,40,156.57,236.33587786259542,1.185032019796627,0.08251166407465008,0.131,0.025800000000000003,0.0262,0.23700640395932543,0.23413853951572566,0.0639841932942336,0.06480052438887618,0.38958646298926536,0.08252557193327026,0.08125866526338571
Oryza sativa,C3 annual herbaceous,0.131,21.4,0.288,,81.8,0.236,40,69.53,305.0,3.0870825506366026,0.08075471698113207,0.288,0.0262,0.0576,0.6174165101273206,0.19146951283602756,0.055774595956513406,0.05049330738207,0.23278585672345942,0.0432687752457962,0.04803354747029931
Oryza sativa,C3 annual herbaceous,0.222,25.7,0.208,,200.0,0.173,40,170.0,236.44230769230768,0.9255622882855683,0.1308272148800783,0.208,0.0444,0.0416,0.18511245765711368,0.4637719369889029,0.12747844569888778,0.1133265158715196,0.5618823173401163,0.12324000801582152,0.12073049065850239
Oryza sativa,C3 annual herbaceous,0.189,29.3,0.289,,350.0,0.183,40,297.5,258.61591695501727,0.5594645706234814,0.13402500791389682,0.289,0.0378,0.0578,0.11189291412469629,1.0936866654305284,0.3106479378540129,0.29250598558862784,0.7552181533271803,0.15643307907398052,0.1542870756702176
Oryza sativa,C3 annual herbaceous,0.279,29.8,0.303,,170.0,0.177,40,144.5,261.65016501650166,1.1140736145973857,0.13444609886837403,0.303,0.05580000000000001,0.0606,0.22281472291947715,0.5568493671085935,0.16429847756810068,0.15886098171431784,0.516328106307232,0.12540814035622733,0.1332414297340625
Oryza sativa,C3 annual herbaceous,0.222,18.1,0.123,,200.0,0.151,40,170.0,212.84552845528455,0.807860725613415,0.10471777986829728,0.123,0.0444,0.0246,0.16157214512268303,0.31759478552641046,0.08769859922946172,0.08514556402636164,0.5423250960975504,0.14341289526589757,0.14763107088743765
Oryza sativa,C3 annual herbaceous,0.254,28.1,0.288,,190.0,0.248,40,161.5,262.43055555555554,1.3966501216599998,0.12633156415860133,0.288,0.050800000000000005,0.0576,0.279330024332,0.43533714245628624,0.11905223162440132,0.12111343546493719,0.4393057791395302,0.11168069062104474,0.10583540620152276
Oryza sativa,C3 annual herbaceous,0.172,28.0,0.217,,190.0,0.182,40,161.5,230.96774193548387,1.0249609763795158,0.14662162162162162,0.217,0.0344,0.0434,0.20499219527590318,0.4429910385916664,0.12081159391814039,0.11888117677591564,0.5698356519568297,0.09226400444532884,0.0937780261140645
Oryza sativa,C3 annual herbaceous,0.23,30.8,0.303,,290.0,0.188,40,246.5,258.34983498349834,0.6936643818923135,0.14105804111245465,0.303,0.046000000000000006,0.0606,0.1387328763784627,0.909085240610713,0.25971836403425463,0.25022087795939063,0.689193441919706,0.1510628022975049,0.14889521882430423
Oryza sativa,C3 annual herbaceous,0.148,22.3,0.235,,330.0,0.203,40,280.5,265.1063829787234,0.6582208601225097,0.09906427221172023,0.235,0.0296,0.047,0.13164417202450193,0.7408044170669924,0.21459371201232902,0.19972265406721101,0.5875249344898096,0.1234051355962757,0.12246144438046236
Oryza sativa,C3 annual herbaceous,0.109,13.3,0.15,80.0,90.8,0.153,40,80.0,267.0,1.739441843808355,0.05859030837004406,0.15,0.0218,0.03,0.347888368761671,0.17591853778869032,0.04822677589167321,0.04596171946522748,0.2619048615411492,0.05384536864720044,0.05740261426995741
Oryza sativa,C3 annual herbaceous,0.241,37.4,0.668,123.0,,0.22,40,123.0,304.0119760479042,1.6267695653874832,0.14166024041732816,0.668,0.0482,0.13360000000000002,0.32535391307749667,0.8804450752395471,0.2533289322117198,0.2241629707861067,0.4319587468213392,0.08259443167713859,0.08505806741552863
Oryza sativa,C3 annual herbaceous,0.193,17.3,0.33,43.0,,0.26,40,43.0,290.0,5.499375338381788,0.0692,0.33,0.0386,0.066,1.0998750676763576,0.12447987173864201,0.03797104790509573,0.033478663154853414,0.16209158255317663,0.04562296088568661,0.04754183694235614
Paphiopedilum armeniacum,C3 perennial herbaceous,0.02,2.95,0.05,526.3,910.1,0.19,40,526.3,269.9,0.3283437094562856,0.012831665941713791,0.05,0.004,0.010000000000000002,0.06566874189125713,0.3250978351527172,0.09848139960367033,0.0949726127727139,0.2824929489030357,0.057434568234579986,0.05592003530961959
