1.916623649783951041e-04;1.919834762645608107e-04;1.922494245926283584e-04;1.924691926394870342e-04;1.926502831767973529e-04;1.927989019635381119e-04;1.929201832911448379e-04;1.930183235621458408e-04;1.930967382205880077e-04;1.931581651585625764e-04;1.932047506514738839e-04;1.932381362235044908e-04;1.932594970876100749e-04;1.932695977602460146e-04;1.932688106675135799e-04;1.932571368846314609e-04;1.932342084305653962e-04;1.931992794632102954e-04;1.931512120672258890e-04;1.930884485265186657e-04;1.930089749056172191e-04;1.929102790108810439e-04;1.927893006540842976e-04;1.926423811312640304e-04;1.924652127335861802e-04;1.922527981582054508e-04;1.919994281919475999e-04;1.916986900253646667e-04;1.913435244291491013e-04;1.909263499125173720e-04;1.904392800588551593e-04;1.898744581238799014e-04;1.892245388020538253e-04;1.884833494590365825e-04;1.876467713205335383e-04;1.867139036409146179e-04;1.856886095999825685e-04;1.845816061751721102e-04;1.834133592655987435e-04;1.822181662567989597e-04;1.810499506861268479e-04;1.799903706684388032e-04;1.791597403219548053e-04;1.787306798804959686e-04;1.789429427022414323e-04;1.801150649568982105e-04;1.826443772728785278e-04;1.869830149701176157e-04;1.935776749235141919e-04;2.027696180325281455e-04
1.896863662665837936e-04;1.901492282278376958e-04;1.905337728804776894e-04;1.908527431506422422e-04;1.911168281737275580e-04;1.913349514018444406e-04;1.915145520698513103e-04;1.916617916897333628e-04;1.917817462027865990e-04;1.918785733131828791e-04;1.919556376066068907e-04;1.920156265442282261e-04;1.920606362904687470e-04;1.920922440783082001e-04;1.921115608434567634e-04;1.921192699103527570e-04;1.921156506858814775e-04;1.921005892438629929e-04;1.920735819065091054e-04;1.920337174859799534e-04;1.919796591079294215e-04;1.919096092657632561e-04;1.918212728108741570e-04;1.917118099753938932e-04;1.915777950179258535e-04;1.914151792044202743e-04;1.912192730023847909e-04;1.909847615366937310e-04;1.907057725089581672e-04;1.903760161303729923e-04;1.899890272589318467e-04;1.895385331354251302e-04;1.890189773480941099e-04;1.884262299951984521e-04;1.877585254126107718e-04;1.870176855843101228e-04;1.862107256594523351e-04;1.853520005689355610e-04;1.844661383360963677e-04;1.835921178233996642e-04;1.827889590239208768e-04;1.821435375580982485e-04;1.817808764734747825e-04;1.818766471186178651e-04;1.826701697697860225e-04;1.844735985470212123e-04;1.876693691397598649e-04;1.926848433110913826e-04;1.999337018813715570e-04;2.097216364890839657e-04
1.880888348607994624e-04;1.887552143887192657e-04;1.893105752893719010e-04;1.897727527653738505e-04;1.901568360423577667e-04;1.904755536060863830e-04;1.907395719620704703e-04;1.909578275966309366e-04;1.911377546540959644e-04;1.912855277001580616e-04;1.914062382392797072e-04;1.915040658701800259e-04;1.915824048227749213e-04;1.916439770021304240e-04;1.916909232051507844e-04;1.917248689021219072e-04;1.917469832688731052e-04;1.917580121518255962e-04;1.917583035915774580e-04;1.917478185770778718e-04;1.917261273842023079e-04;1.916923981005647006e-04;1.916453734944080620e-04;1.915833429582124733e-04;1.915041129223978879e-04;1.914049848153894472e-04;1.912827500778532927e-04;1.911337201900515173e-04;1.909538106161373107e-04;1.907387032557386120e-04;1.904841143131969438e-04;1.901861968364330154e-04;1.898421053209298638e-04;1.894507534939899370e-04;1.890138045167226921e-04;1.885369492132109607e-04;1.880315661070510911e-04;1.875169108678802926e-04;1.870230617482111194e-04;1.865949380893198973e-04;1.862977836270912038e-04;1.862245054803845980e-04;1.865050443889866311e-04;1.873173076285924088e-04;1.888978252856767567e-04;1.915479837247442696e-04;1.956287003281231211e-04;2.015340755324038571e-04;2.096355258416337532e-04;2.201947631938355212e-04
1.884252493472824178e-04;1.893910556233356255e-04;1.901987740006887476e-04;1.908731723475853815e-04;1.914354592362982126e-04;1.919036881057637704e-04;1.922931524776658120e-04;1.926167498275528590e-04;1.928853238618649863e-04;1.931079597883856832e-04;1.932922436948352721e-04;1.934444970732579071e-04;1.935699663878223209e-04;1.936729890403394939e-04;1.937571332666013896e-04;1.938253129056170343e-04;1.938798821962846297e-04;1.939227114719994157e-04;1.939552457462375638e-04;1.939785515992564020e-04;1.939933479512202970e-04;1.940000262905156622e-04;1.939986628090795617e-04;1.939890233760107512e-04;1.939705687442146891e-04;1.939424648898882032e-04;1.939036111363635917e-04;1.938527005013940328e-04;1.937883307556577752e-04;1.937091917064439033e-04;1.936143543145309686e-04;1.935036910287291458e-04;1.933784572695403385e-04;1.932420662814153512e-04;1.931010972726537650e-04;1.929665932135245080e-04;1.928557368406930302e-04;1.927940379907937089e-04;1.928182302179988895e-04;1.929801344740536767e-04;1.933517872087708791e-04;1.940320754912126615e-04;1.951548665076298448e-04;1.968979786042935427e-04;1.994911125627000105e-04;2.032189365372604134e-04;2.084132071800326089e-04;2.154262077156240051e-04;2.245788311652589233e-04;2.360820585785128160e-04
1.941599870700140042e-04;1.955933563025934771e-04;1.967972264581724384e-04;1.978060916669568991e-04;1.986499397645328363e-04;1.993546519461091070e-04;1.999423960511926461e-04;2.004320458811015520e-04;2.008396003334191450e-04;2.011785636937910710e-04;2.014603017534853571e-04;2.016943543177148271e-04;2.018887143607472076e-04;2.020500673797569441e-04;2.021840022562890150e-04;2.022951880850593141e-04;2.023875311628468322e-04;2.024643059574471945e-04;2.025282701687896800e-04;2.025817661224677295e-04;2.026268088224490878e-04;2.026651690509475689e-04;2.026984499341794488e-04;2.027281646444659764e-04;2.027558151670755975e-04;2.027829804360491443e-04;2.028114176680466125e-04;2.028431860831220515e-04;2.028808065004118733e-04;2.029274719476285372e-04;2.029873323442326326e-04;2.030658826431369862e-04;2.031704866012181896e-04;2.033110794514568801e-04;2.035010985324075497e-04;2.037587061093109513e-04;2.041083923743459776e-04;2.045830759558712477e-04;2.052268594949999147e-04;2.060986286851779095e-04;2.072766795560238918e-04;2.088644651908181423e-04;2.109972756358683907e-04;2.138490739725228010e-04;2.176376754887127249e-04;2.226249505119466188e-04;2.291070324412536904e-04;2.373884382077110010e-04;2.477348724517011583e-04;2.603034374989739294e-04
2.116649989459871528e-04;2.139026489748280322e-04;2.157926513310264905e-04;2.173838258358019805e-04;2.187196786271815264e-04;2.198384580362019894e-04;2.207734314549066143e-04;2.215532693998032582e-04;2.222025041908836621e-04;2.227419932743290117e-04;2.231893788718292213e-04;2.235595168752649655e-04;2.238648675258555381e-04;2.241158469666281166e-04;2.243211372032502353e-04;2.244879675853728748e-04;2.246223545335838381e-04;2.247293258033253814e-04;2.248131202072216220e-04;2.248773818648181497e-04;2.249253457563890200e-04;2.249600314338314909e-04;2.249844442396405834e-04;2.250017924451750274e-04;2.250157193068477138e-04;2.250305499170286944e-04;2.250515467559100348e-04;2.250851643403070461e-04;2.251392963015209307e-04;2.252235105681843377e-04;2.253492820219656903e-04;2.255302475859768030e-04;2.257825290327486261e-04;2.261251905535509733e-04;2.265809118966604935e-04;2.271769698549834006e-04;2.279466291033239620e-04;2.289310501010364456e-04;2.301818280486207303e-04;2.317642729361911436e-04;2.337615015768587960e-04;2.362792896775138204e-04;2.394513594956836642e-04;2.434442623824581767e-04;2.484601823894450078e-04;2.547348494823610315e-04;2.625265243696264556e-04;2.720912660598702828e-04;2.836402841780721212e-04;2.972779282963173447e-04
2.499131239941783595e-04;2.536690475500837571e-04;2.568664093562119223e-04;2.595756653858877260e-04;2.618619959163420762e-04;2.637844109788288027e-04;2.653954297291871603e-04;2.667411437205880831e-04;2.678615378607341843e-04;2.687909544450310727e-04;2.695586365846583963e-04;2.701892872035872991e-04;2.707036144410533349e-04;2.711188452199114101e-04;2.714492003630452157e-04;2.717063243634222744e-04;2.718996775110638867e-04;2.720369020601025810e-04;2.721241668409227492e-04;2.721665092037140344e-04;2.721681885858847965e-04;2.721330642834974482e-04;2.720650125216052175e-04;2.719683887358387482e-04;2.718485335394501862e-04;2.717123102619158396e-04;2.715686446516992901e-04;2.714290268048945732e-04;2.713079252521406748e-04;2.712230724670855160e-04;2.711955981703483855e-04;2.712500298027607434e-04;2.714142259399218151e-04;2.717193580611306771e-04;2.722000875169952811e-04;2.728950943186778089e-04;2.738480993221766068e-04;2.751094924683602518e-04;2.767386400713175141e-04;2.788069006280135056e-04;2.814013039469572008e-04;2.846287102750385861e-04;2.886200080818931307e-04;2.935334681750098921e-04;2.995557101666616569e-04;3.068978797256604685e-04;3.157837486602935173e-04;3.264259110219958852e-04;3.389866496037124521e-04;3.535219867187720973e-04
3.179077827779490991e-04;3.246361542444994972e-04;3.304274686370824816e-04;3.353806631403534249e-04;3.395932938139139125e-04;3.431580636350485482e-04;3.461605956855400446e-04;3.486782632425579039e-04;3.507797331019469429e-04;3.525250354884443943e-04;3.539659699319357969e-04;3.551467063660079262e-04;3.561044750150844950e-04;3.568702925036083742e-04;3.574696726796896900e-04;3.579233055333055869e-04;3.582476967616471993e-04;3.584557752769320445e-04;3.585574838327066087e-04;3.585603706188049693e-04;3.584702131272446955e-04;3.582916962130667463e-04;3.580291714268795788e-04;3.576875076794894638e-04;3.572730338248048475e-04;3.567945398536694849e-04;3.562642796215716818e-04;3.556988830793920498e-04;3.551200679776048293e-04;3.545550427450264272e-04;3.540365326486045409e-04;3.536024287679834189e-04;3.532951583785360868e-04;3.531609674827660339e-04;3.532493665680095404e-04;3.536130025835630469e-04;3.543081749995271950e-04;3.553961307332393488e-04;3.569451777764020032e-04;3.590335596137514732e-04;3.617529273348644037e-04;3.652120948626928548e-04;3.695405228488431214e-04;3.748905970971827973e-04;3.814372318959172777e-04;3.893726703493066341e-04;3.988937129109887511e-04;4.101782447431144758e-04;4.233482696689154392e-04;4.384181391134264966e-04
4.221041167910945051e-04;4.345243212175981906e-04;4.453770648361114705e-04;4.547810139001214730e-04;4.628691416297877888e-04;4.697793798239592610e-04;4.756475616763071305e-04;4.806025290419845409e-04;4.847630327521834865e-04;4.882360341555008754e-04;4.911160553715762395e-04;4.934852430598107723e-04;4.954139165586670659e-04;4.969613677663555374e-04;4.981768289530669105e-04;4.991004748902452262e-04;4.997644465611761474e-04;5.001938543335490142e-04;5.004077799343267796e-04;5.004202946113034617e-04;5.002415276565287238e-04;4.998788332858757804e-04;4.993380845657298481e-04;4.986251254355218232e-04;4.977473709144875904e-04;4.967155092521421955e-04;4.955452019994116769e-04;4.942586248709928635e-04;4.928856505411346144e-04;4.914644788940387326e-04;4.900415730230065197e-04;4.886708806398746847e-04;4.874124776633057205e-04;4.863309326759275250e-04;4.854937909650408417e-04;4.849705952674349943e-04;4.848327714780210429e-04;4.851545586162780282e-04;4.860149899583547108e-04;4.875007719509933941e-04;4.897097699807380876e-04;4.927546493581437320e-04;4.967660010378891150e-04;5.018939504397244280e-04;5.083068011000987279e-04;5.161847434639025732e-04;5.257061928057876364e-04;5.370241146893717015e-04;5.502300667214541762e-04;5.653049513446038775e-04
5.656936850456484962e-04;5.884374365003828536e-04;6.087067476714083832e-04;6.265784256587267212e-04;6.421856413653061115e-04;6.556986875216582258e-04;6.673082117082737704e-04;6.772117039760537117e-04;6.856033192270749111e-04;6.926667916438114699e-04;6.985709288455866283e-04;7.034671455420026497e-04;7.074884807196763457e-04;7.107496694623082834e-04;7.133479041616302497e-04;7.153640072296306484e-04;7.168638479631097606e-04;7.178998951373877484e-04;7.185128407643451157e-04;7.187333081660221513e-04;7.185836594186802108e-04;7.180799560533307349e-04;7.172341183784803828e-04;7.160563198435767164e-04;7.145576052232877149e-04;7.127526547016156027e-04;7.106625382563201915e-04;7.083172035760630994e-04;7.057573866604405352e-04;7.030356234660607544e-04;7.002161285847159329e-04;6.973734871697374318e-04;6.945903568376979829e-04;6.919546252712996306e-04;6.895566325053955215e-04;6.874870858039498550e-04;6.858361552661524719e-04;6.846939933447429398e-04;6.841526483296395860e-04;6.843091073983394862e-04;6.852690241623641274e-04;6.871505309243216295e-04;6.900873407131442568e-04;6.942300619490941824e-04;6.997442706400177487e-04;7.068034536414047027e-04;7.155745881324338843e-04;7.261940366880268501e-04;7.387318756078725158e-04;7.531439749920474476e-04
