2.598927862454513928e-05;2.615533629173389703e-05;2.621537038911735538e-05;2.623710886594310193e-05;2.624482497372054691e-05;2.624765796794058684e-05;2.624862101927904467e-05;2.624896071170757495e-05;2.624916927054038319e-05;2.624940608603188236e-05
7.241970412907622508e-05;7.591324092957481002e-05;7.725256406043250190e-05;7.774550335342526072e-05;7.792419938480804273e-05;7.798860440193037256e-05;7.801178395668917961e-05;7.802012469209131660e-05;7.802312493816434191e-05;7.802418016644323056e-05
5.388178373291098314e-04;7.086087009982426372e-04;7.991052327274473805e-04;8.375457784468699849e-04;8.522798711771453458e-04;8.577024643490943406e-04;8.596681380804787557e-04;8.603767665655064284e-04;8.606317204672346392e-04;8.607233796412852925e-04
1.219945833612648368e-03;2.566566722008476603e-03;4.254209676869786030e-03;5.570612060669676707e-03;6.267605861445127782e-03;6.562703262527184479e-03;6.675660473428175930e-03;6.717210940769478313e-03;6.732270033982362331e-03;6.737698497817558307e-03
1.393206001526405870e-03;3.666662360909902010e-03;8.866317296860446243e-03;1.808194957320896634e-02;2.886605506612053423e-02;3.674301439579009954e-02;4.073886067071771921e-02;4.239597731562157884e-02;4.302495699837502463e-02;4.325558710772507004e-02
1.155581657264734101e-03;3.170017419028543868e-03;8.487034115086637340e-03;2.136820830022652037e-02;4.702815121323642572e-02;8.281193431911124114e-02;1.140992821443638644e-01;1.320916897228421871e-01;1.400451078845829644e-01;1.431457429133995984e-01
6.879755134649960654e-04;1.903547193928181898e-03;5.215045170493285039e-03;1.391536288221579577e-02;3.477002964785427808e-02;7.555076098784800631e-02;1.314627011667630907e-01;1.805327987732367467e-01;2.094242063599989767e-01;2.224836596144877943e-01
3.190230330020769672e-04;8.856710985577122145e-04;2.448864028020573090e-03;6.696599634663780859e-03;1.778421353750845799e-02;4.397068683501349773e-02;9.390895272929439264e-02;1.609040982034927181e-01;2.201339028227637662e-01;2.561952446341578260e-01
1.277681767788971039e-04;3.552118939048776614e-04;9.860015905339347079e-04;2.725235727420279724e-03;7.444717538702155801e-03;1.971966052057656099e-02;4.847971333769335311e-02;1.026193820633852921e-01;1.745497922068249275e-01;2.386176851418331801e-01
4.751888167920751560e-05;1.321817922605642416e-04;3.674764650941347442e-04;1.020000847511163752e-03;2.818867281773841747e-03;7.698023272713815091e-03;2.037441422788584949e-02;5.000838740800238325e-02;1.056458369927351787e-01;1.797194455782678835e-01
