1.000000000000000021e-02;5.286966898555113259e-01;1.000000000000000000e+00
2.000000000000000042e-02;5.197359223442901133e-01;1.000000000000000000e+00
2.999999999999999889e-02;5.153219462797338224e-01;1.000000000000000000e+00
4.000000000000000083e-02;5.129272811796172782e-01;1.000000000000000000e+00
5.000000000000000278e-02;5.116602903595337537e-01;1.000000000000000000e+00
6.000000000000000472e-02;5.111010021454954755e-01;1.000000000000000000e+00
7.000000000000000666e-02;5.110185834444548325e-01;1.000000000000000000e+00
8.000000000000000167e-02;5.112731922100975934e-01;1.000000000000000000e+00
8.999999999999999667e-02;5.117741967177938944e-01;1.000000000000000000e+00
9.999999999999999167e-02;5.124598485625821986e-01;1.000000000000000000e+00
1.099999999999999867e-01;5.132864076881619164e-01;1.000000000000000000e+00
1.199999999999999817e-01;5.142218964697775618e-01;1.000000000000000000e+00
1.299999999999999767e-01;5.152423107085495335e-01;1.000000000000000000e+00
1.399999999999999856e-01;5.163292196599004180e-01;1.000000000000000000e+00
1.499999999999999944e-01;5.174681920956486492e-01;1.000000000000000000e+00
1.600000000000000033e-01;5.186477341263470153e-01;1.000000000000000000e+00
1.700000000000000122e-01;5.198585548456237104e-01;1.000000000000000000e+00
1.800000000000000211e-01;5.210930478092458129e-01;1.000000000000000000e+00
1.900000000000000300e-01;5.223449178923315062e-01;1.000000000000000000e+00
2.000000000000000389e-01;5.236089079739156826e-01;1.000000000000000000e+00
2.100000000000000477e-01;5.248805953291032500e-01;1.000000000000000000e+00
2.200000000000000566e-01;5.261562374369358475e-01;1.000000000000000000e+00
2.300000000000000655e-01;5.274326533171723730e-01;1.000000000000000000e+00
2.400000000000000744e-01;5.287071307638759876e-01;1.000000000000000000e+00
2.500000000000000555e-01;5.299773527148279317e-01;1.000000000000000000e+00
2.600000000000000644e-01;5.312413379585987361e-01;1.000000000000000000e+00
2.700000000000000733e-01;5.324973927378302552e-01;1.000000000000000000e+00
2.800000000000000822e-01;5.337440707539380380e-01;1.000000000000000000e+00
2.900000000000000910e-01;5.349801397447054851e-01;1.000000000000000000e+00
3.000000000000000999e-01;5.362045532788657365e-01;1.000000000000000000e+00
3.100000000000001088e-01;5.374164267498109382e-01;1.000000000000000000e+00
3.200000000000001177e-01;5.386150167942761469e-01;1.000000000000000000e+00
3.300000000000001266e-01;5.397997035391868259e-01;1.000000000000000000e+00
3.400000000000001354e-01;5.409699752100419756e-01;1.000000000000000000e+00
3.500000000000001443e-01;5.421254147308829374e-01;1.000000000000000000e+00
3.600000000000001532e-01;5.432656880184636439e-01;1.000000000000000000e+00
3.700000000000001621e-01;5.443905337283974077e-01;1.000000000000000000e+00
3.800000000000001710e-01;5.454997542535432453e-01;1.000000000000000000e+00
3.900000000000001799e-01;5.465932078080409928e-01;1.000000000000000000e+00
4.000000000000001887e-01;5.476708014567031046e-01;1.000000000000000000e+00
4.100000000000001976e-01;5.487324849704935392e-01;1.000000000000000000e+00
4.200000000000002065e-01;5.497782454060093915e-01;1.000000000000000000e+00
4.300000000000002154e-01;5.508081023209333571e-01;1.000000000000000000e+00
4.400000000000002243e-01;5.518221035492393289e-01;1.000000000000000000e+00
4.500000000000002331e-01;5.528203214697413603e-01;1.000000000000000000e+00
4.600000000000002420e-01;5.538028497100289105e-01;1.000000000000000000e+00
4.700000000000002509e-01;5.547698002349767954e-01;1.000000000000000000e+00
4.800000000000002598e-01;5.557213007751906630e-01;1.000000000000000000e+00
4.900000000000002687e-01;5.566574925561302845e-01;1.000000000000000000e+00
5.000000000000002220e-01;5.575785282932853582e-01;1.000000000000000000e+00
5.100000000000002309e-01;5.584845704228429408e-01;1.000000000000000000e+00
5.200000000000002398e-01;5.593757895408545400e-01;1.000000000000000000e+00
5.300000000000002487e-01;5.602523630270451749e-01;1.000000000000000000e+00
5.400000000000002576e-01;5.611144738321302006e-01;1.000000000000000000e+00
5.500000000000002665e-01;5.619623094099598370e-01;1.000000000000000000e+00
5.600000000000002753e-01;5.627960607779414204e-01;1.000000000000000000e+00
5.700000000000002842e-01;5.636159216910656689e-01;1.000000000000000000e+00
5.800000000000002931e-01;5.644220879165520177e-01;1.000000000000000000e+00
5.900000000000003020e-01;5.652147565976103349e-01;1.000000000000000000e+00
6.000000000000003109e-01;5.659941256960994149e-01;1.000000000000000000e+00
6.100000000000003197e-01;5.667603935050447017e-01;1.000000000000000000e+00
6.200000000000003286e-01;5.675137582230126432e-01;1.000000000000000000e+00
6.300000000000003375e-01;5.682544175832008326e-01;1.000000000000000000e+00
6.400000000000003464e-01;5.689825685309889414e-01;1.000000000000000000e+00
6.500000000000003553e-01;5.696984069443091769e-01;1.000000000000000000e+00
6.600000000000003642e-01;5.704021273919372970e-01;1.000000000000000000e+00
6.700000000000003730e-01;5.710939229252917082e-01;1.000000000000000000e+00
6.800000000000003819e-01;5.717739848998271146e-01;1.000000000000000000e+00
6.900000000000003908e-01;5.724425028226082235e-01;1.000000000000000000e+00
7.000000000000003997e-01;5.730996642229840843e-01;1.000000000000000000e+00
7.100000000000004086e-01;5.737456545436607769e-01;1.000000000000000000e+00
7.200000000000004174e-01;5.743806570497587138e-01;1.000000000000000000e+00
7.300000000000004263e-01;5.750048527537330312e-01;1.000000000000000000e+00
7.400000000000004352e-01;5.756184203542783484e-01;1.000000000000000000e+00
7.500000000000004441e-01;5.762215361875155928e-01;1.000000000000000000e+00
7.600000000000004530e-01;5.768143741890127130e-01;1.000000000000000000e+00
7.700000000000004619e-01;5.773971058653066812e-01;1.000000000000000000e+00
7.800000000000004707e-01;5.779699002737688218e-01;1.000000000000000000e+00
7.900000000000004796e-01;5.785329240097850656e-01;1.000000000000000000e+00
8.000000000000004885e-01;5.790863412003259825e-01;1.000000000000000000e+00
8.100000000000004974e-01;5.796303135031255493e-01;1.000000000000000000e+00
8.200000000000005063e-01;5.801650001107276911e-01;1.000000000000000000e+00
8.300000000000005151e-01;5.806905577587753164e-01;1.000000000000000000e+00
8.400000000000005240e-01;5.812071407379928445e-01;1.000000000000000000e+00
8.500000000000005329e-01;5.817149009093518508e-01;1.000000000000000000e+00
8.600000000000005418e-01;5.822139877219907333e-01;1.000000000000000000e+00
8.700000000000005507e-01;5.827045482334960447e-01;1.000000000000000000e+00
8.800000000000005596e-01;5.831867271322038748e-01;1.000000000000000000e+00
8.900000000000005684e-01;5.836606667612329602e-01;1.000000000000000000e+00
9.000000000000005773e-01;5.841265071439525336e-01;1.000000000000000000e+00
9.100000000000005862e-01;5.845843860106912926e-01;1.000000000000000000e+00
9.200000000000005951e-01;5.850344388264263618e-01;1.000000000000000000e+00
9.300000000000006040e-01;5.854767988193280148e-01;1.000000000000000000e+00
9.400000000000006128e-01;5.859115970099492143e-01;1.000000000000000000e+00
9.500000000000006217e-01;5.863389622409580504e-01;1.000000000000000000e+00
9.600000000000006306e-01;5.867590212072475442e-01;1.000000000000000000e+00
9.700000000000006395e-01;5.871718984863621982e-01;1.000000000000000000e+00
9.800000000000006484e-01;5.875777165690904136e-01;1.000000000000000000e+00
9.900000000000006573e-01;5.879765958901885803e-01;1.000000000000000000e+00
1.000000000000000666e+00;5.883686548591340326e-01;1.000000000000000000e+00
