1.940351217527660488e+00;4.529335914182522349e-01
1.950004706172076663e+00;5.060631956945381704e-01
1.959658194816492838e+00;5.470942758647574511e-01
1.969311683460909013e+00;5.720739543796298232e-01
1.978965172105325188e+00;5.787582692273927076e-01
1.988618660749741363e+00;5.667536934039486551e-01
1.998272149394157537e+00;5.374562758974962273e-01
2.007925638038573712e+00;4.938321525785772104e-01
2.017579126682989887e+00;4.400912974359808549e-01
2.027232615327406062e+00;3.812988602945108219e-01
2.036886103971822237e+00;3.229528910277886800e-01
2.046539592616238412e+00;2.705426509550284409e-01
2.056193081260654587e+00;2.290953163196294551e-01
2.065846569905070762e+00;2.027240926284206990e-01
2.075500058549486937e+00;1.942060566844520109e-01
2.085153547193903112e+00;2.046370861570004085e-01
2.094807035838319287e+00;2.332244967345824260e-01
2.104460524482735462e+00;2.772760202767766691e-01
2.114114013127151637e+00;3.324213166173148326e-01
2.123767501771567812e+00;3.930617657922827468e-01
2.133420990415983987e+00;4.529964410328169433e-01
2.143074479060400162e+00;5.061322148243230234e-01
2.152727967704816336e+00;5.471676061728580898e-01
2.162381456349232511e+00;5.721493055965474195e-01
2.172034944993648686e+00;5.788331751561459626e-01
2.181688433638064861e+00;5.668257652828603277e-01
2.191341922282481036e+00;5.375234263654969924e-01
2.200995410926897211e+00;4.938927722787802566e-01
2.210648899571313386e+00;4.401443752084273631e-01
2.220302388215729561e+00;3.813440448645030734e-01
2.229955876860145736e+00;3.229904962575039784e-01
2.239609365504561911e+00;2.705736084922968354e-01
2.249262854148978086e+00;2.291210800885090659e-01
2.258916342793394261e+00;2.027465005532145537e-01
2.268569831437810436e+00;1.942271574537166035e-01
2.278223320082226611e+00;2.046589429929409898e-01
2.287876808726642786e+00;2.332489852269825636e-01
2.297530297371058960e+00;2.773046416419599480e-01
2.307183786015475135e+00;3.324550491985189815e-01
2.316837274659891310e+00;3.931009747096322893e-01
2.326490763304307485e+00;4.530408584092163182e-01
2.336144251948723660e+00;5.061809923496498609e-01
2.345797740593139835e+00;5.472194305144874038e-01
2.355451229237556010e+00;5.722025581643997993e-01
2.365104717881972185e+00;5.788861130278410982e-01
2.374758206526388360e+00;5.668767002614643058e-01
2.384411695170804535e+00;5.375708832613442789e-01
2.394065183815220710e+00;4.939356137195702323e-01
2.403718672459636885e+00;4.401818865824125293e-01
2.413372161104053060e+00;3.813759779171778108e-01
2.423025649748469235e+00;3.230170728030281047e-01
2.432679138392885410e+00;2.705954869492203652e-01
2.442332627037301584e+00;2.291392879809105998e-01
2.451986115681717759e+00;2.027623367876371374e-01
2.461639604326133934e+00;1.942420698890094666e-01
2.471293092970550109e+00;2.046743897592427641e-01
2.480946581614966284e+00;2.332662918499621429e-01
2.490600070259382459e+00;2.773248690683051687e-01
2.500253558903798634e+00;3.324788888475889714e-01
2.509907047548214809e+00;3.931286846208379426e-01
2.519560536192630984e+00;4.530722492671895307e-01
2.529214024837047159e+00;5.062154646326627594e-01
2.538867513481463334e+00;5.472560560578991762e-01
2.548521002125879509e+00;5.722401930705860451e-01
2.558174490770295684e+00;5.789235255304743255e-01
2.567827979414711859e+00;5.669126972700356815e-01
2.577481468059128034e+00;5.376044222228483216e-01
2.587134956703544209e+00;4.939658908248841240e-01
2.596788445347960383e+00;4.402083967977493129e-01
2.606441933992376558e+00;3.813985457949424784e-01
2.616095422636792733e+00;3.230358551047670113e-01
2.625748911281208908e+00;2.706109489955998426e-01
2.635402399925625083e+00;2.291521559486016102e-01
2.645055888570041258e+00;2.027735286460015662e-01
2.654709377214457433e+00;1.942526088756906244e-01
2.664362865858873608e+00;2.046853063708569120e-01
2.674016354503289783e+00;2.332785228682678902e-01
2.683669843147705958e+00;2.773391642905587151e-01
2.693323331792122133e+00;3.324957369169388999e-01
2.702976820436538308e+00;3.931482679001147007e-01
2.712630309080954483e+00;4.530944339625534445e-01
2.722283797725370658e+00;5.062398270472789896e-01
2.731937286369786833e+00;5.472819402348713114e-01
2.741590775014203007e+00;5.722667905891885010e-01
2.751244263658619182e+00;5.789499658709876817e-01
2.760897752303035357e+00;5.669381372459052493e-01
2.770551240947451532e+00;5.376281250360855912e-01
2.780204729591867707e+00;4.939872884037123657e-01
2.789858218236283882e+00;4.402271322223103578e-01
2.799511706880700057e+00;3.814144950720760874e-01
2.809165195525116232e+00;3.230491290217372691e-01
2.818818684169532407e+00;2.706218764060226434e-01
2.828472172813948582e+00;2.291612500594858437e-01
2.838125661458364757e+00;2.027814382089885847e-01
2.847779150102780932e+00;1.942600570381166902e-01
2.857432638747197107e+00;2.046930214101560785e-01
2.867086127391613282e+00;2.332871668312698210e-01
2.876739616036029457e+00;2.773492670775200564e-01
2.886393104680445632e+00;3.325076438640496290e-01
2.896046593324861806e+00;3.931621078877042263e-01
2.905700081969277981e+00;4.531101124352034937e-01
2.915353570613694156e+00;5.062570445679585029e-01
2.925007059258110331e+00;5.473002332226321043e-01
2.934660547902526506e+00;5.722855877131135527e-01
2.944314036546942681e+00;5.789686519132736242e-01
2.953967525191358856e+00;5.669561163057659225e-01
2.963621013835775031e+00;5.376448764001718894e-01
2.973274502480191206e+00;4.940024106016537853e-01
2.982927991124607381e+00;4.402403730100195034e-01
2.992581479769023556e+00;3.814257668205182084e-01
3.002234968413439731e+00;3.230585100270126353e-01
3.011888457057855906e+00;2.706295990771205306e-01
3.021541945702272081e+00;2.291676770924696849e-01
3.031195434346688256e+00;2.027870280926881430e-01
3.040848922991104430e+00;1.942653208386350694e-01
3.050502411635520605e+00;2.046984738191598152e-01
3.060155900279936780e+00;2.332932757336197149e-01
3.069809388924352955e+00;2.773564069668189580e-01
3.079462877568769130e+00;3.325160587979376636e-01
3.089116366213185305e+00;3.931718889490855573e-01
3.098769854857601480e+00;4.531211927994163169e-01
3.108423343502017655e+00;5.062692126154733074e-01
3.118076832146433830e+00;5.473131613293201747e-01
3.127730320790850005e+00;5.722988721052921779e-01
3.137383809435266180e+00;5.789818578013111727e-01
3.147037298079682355e+00;5.669688225518452196e-01
3.156690786724098530e+00;5.376567150032975917e-01
3.166344275368514705e+00;4.940130978327911815e-01
3.175997764012930880e+00;4.402497306020264345e-01
3.185651252657347055e+00;3.814337328438033303e-01
3.195304741301763229e+00;3.230651398153623344e-01
3.204958229946179404e+00;2.706350568796987432e-01
3.214611718590595579e+00;2.291722192355673815e-01
3.224265207235011754e+00;2.027909786016920402e-01
3.233918695879427929e+00;1.942690408965901672e-01
3.243572184523844104e+00;2.047023271713928616e-01
3.253225673168260279e+00;2.332975930459274538e-01
